"client","frequency","recency","monetary"
3781,1,353,247.63999749
3780,2,184,247.27000236
3779,3,272,247.100001339
3778,1,230,246.99000166
3777,2,300,246.94999503
3776,1,299,246.86999893
3775,4,118,246.81000041
3774,1,202,246.34000016
3773,2,27,245.6099987
3772,2,233,245.039995663
3770,1,121,245.0399932
3771,1,242,245.0399932
3769,1,302,244.9199982
3768,3,6,244.80999947
3767,3,121,244.669996264
3766,1,251,244.58999061
3765,1,124,244.55999946
3764,1,38,244.48999977
3763,2,115,244.3299942
3762,2,80,243.72000313
3761,1,297,242.83999634
3760,1,62,242.72999954
3759,2,164,242.70000077
3758,2,129,242.37999343
3757,3,84,242.19999884
3756,1,40,242.15000154
3755,2,119,242.13000107
3754,1,150,241.90000154
3753,2,162,241.87999725
3752,3,42,241.630005355
3751,2,132,240.64000131
3750,1,250,240.49999428
3749,3,96,240.43999862
3748,2,83,240.43000221
3747,3,21,240.21999932
3746,1,19,239.82999611
3745,1,117,239.8299942
3744,1,226,239.71999742
3743,3,159,239.630002014
3742,1,268,239.38000297
3741,1,259,239.360005388
3740,2,7,239.15999841
3739,1,165,239.06999969
3738,2,80,239.04999923
3737,1,214,238.940001961
3736,2,120,238.76999283
3735,1,332,238.54999542
3734,4,94,238.52000428
3733,1,197,238.49000144
3732,1,228,238.46000004
3731,2,248,237.81999969
3730,1,289,237.70999912
3729,1,119,237.51999664
3728,1,220,237.489995956
3727,1,354,237.469999799
3726,1,61,237.389997353
3725,1,185,236.990002864
3724,2,145,236.73999786
3723,1,231,236.630002026
3722,1,196,236.45000459
3721,2,211,236.40999604
3720,3,138,236.349998233
3719,1,365,236.24999614
3718,2,163,236.23999785
3717,3,59,236.10999871
3716,4,47,236.089999679
3715,2,76,235.77000045
3714,1,84,235.15000439
3712,1,133,234.79999542
3713,1,147,234.79999542
3711,1,62,234.73999787
3710,1,195,234.38000011
3709,2,200,234.10999298
3708,1,66,234.04000092
3707,1,56,233.610001562
3706,1,241,233.49999618
3705,1,146,233.4400024
3704,1,174,233.30000113
3703,1,300,233.29999352
3702,1,339,233.19000244
3701,2,38,232.920002586
3700,2,72,232.579996241
3699,1,69,232.52000428
3698,6,10,232.430002216
3697,1,196,232.380001306
3696,1,103,232.22000122
3695,1,136,232.14999771
3694,1,61,231.96999932
3693,1,97,231.83999634
3692,3,18,231.670000676
3691,1,71,231.61999511
3690,2,223,231.5
3689,2,201,231.329999933
3688,1,250,231.23999977
3687,1,236,231.1099987
3686,3,203,230.96000099
3685,2,120,230.95000268
3684,2,93,230.80999947
3683,1,282,230.78000068
3682,1,194,230.76999854
3681,1,25,230.75000763
3680,1,323,230.71000291
3679,3,227,230.560001381
3678,1,206,230.5300026
3677,1,2,230.48999785
3676,1,11,230.40999793
3675,1,151,230.28999329
3674,1,268,230.22999573
3673,4,176,230.079994179
3672,1,93,229.87999534
3671,1,204,229.62999153
3670,3,1,229.49000168
3669,5,68,229.4600029
3668,1,325,229.31998824
3667,1,198,229.30999946
3666,1,171,229.30000497
3665,2,10,229.11000061
3664,2,81,228.95999908
3663,4,53,228.9299984
3662,2,1,228.91999818
3661,1,22,228.88999557
3660,1,125,228.70000076
3659,2,9,228.55999755
3658,1,196,228.51999663
3657,1,307,228.51000024
3656,1,83,228.48999594
3655,1,189,228.1400013
3654,1,230,227.47999955
3653,2,204,227.339998715
3652,2,153,227.16000367
3651,1,38,227.1199952
3650,3,210,226.97000122
3649,1,136,226.91999411
3648,1,36,226.439994548
3647,2,355,226.40999603
3646,3,233,226.36999512
3645,1,220,226.34000014
3644,1,312,226.18999673
3643,1,288,225.24000167
3642,2,80,225.159998416
3641,1,193,225.0399932
3640,1,199,224.91999436
3639,1,28,224.8600006
3638,3,64,224.71999739
3637,1,223,224.479999896
3636,1,163,224.41999817
3635,3,61,224.15999985
3634,1,78,224.09999847
3633,1,237,223.97999573
3632,1,67,223.89999771
3631,2,201,223.76999951
3630,1,349,223.68999862
3629,1,161,223.67000008
3628,2,53,223.54000092
3627,1,360,223.54000091
3626,1,339,223.49000168
3625,2,81,223.16999818
3624,1,347,222.93000031
3623,1,129,222.6000023
3622,3,190,222.560000415
3621,12,28,222.449999342
3620,1,238,222.29999638
3619,1,112,222.23999406
3618,1,228,222.1499977
3617,1,150,221.94999314
3616,3,5,221.83999633
3615,1,69,221.690001015
3614,1,188,221.56999588
3613,1,60,221.50999832
3612,1,274,221.40999984
3611,1,52,221.38999939
3610,1,224,221.2799988
3609,1,286,220.65999795
3608,4,203,220.28999996
3607,1,237,220.15999604
3606,1,14,219.91000175
3605,2,194,219.89999772
3604,1,192,219.750001564
3603,2,129,219.73999978
3602,1,261,219.72999572
3601,1,178,219.69000243
3600,1,16,219.63999558
3599,2,1,219.40999985
3598,1,188,219.39000511
3597,1,141,219.3500042
3596,1,10,219.219991691
3595,2,60,218.74000167
3594,2,133,218.680000662
3593,1,190,218.6099987
3592,2,66,218.510002728
3591,1,244,218.19000244
3590,2,88,218.10000038
3589,2,102,217.97999954
3588,3,13,217.950002558
3587,2,118,217.75999832
3586,1,305,217.72000123
3585,1,134,217.49000168
3584,1,339,217.47999955
3583,2,67,217.15000152
3582,1,224,216.90999603
3581,1,321,216.76000023
3580,3,118,216.740001198
3579,2,169,216.59000015
3578,1,336,216.33999824
3577,1,225,216.31000138
3576,1,239,216.23999978
3575,1,63,215.67000007
3574,3,32,215.4299984
3573,1,59,215.42000006
3572,1,136,214.95000076
3571,6,67,214.81000329
3570,1,73,214.71000099
3569,1,277,214.54999923
3568,1,207,214.29999923
3567,1,64,214.149997368
3566,1,343,214.139997013
3565,1,5,213.94000054
3564,2,144,213.77999497
3563,1,119,213.73999787
3562,2,148,213.69999694
3561,2,63,213.6400032
3560,2,255,213.58999585
3559,1,77,213.52000046
3558,1,309,213.439996715
3557,2,228,213.32000255
3556,1,181,213.11999511
3555,3,82,213.04000091
3554,3,82,212.8999958
3553,2,150,212.84000396
3552,5,73,212.51000214
3551,1,137,212.49000554
3550,2,74,212.15000158
3549,1,236,211.99000358
3548,1,10,211.979996547
3547,1,68,211.61000061
3546,4,37,211.42000103
3545,1,2,211.08000183
3544,1,214,211.07999802
3543,1,109,211.03000641
3542,1,302,210.96000672
3541,1,239,210.88000107
3540,2,63,210.34000014
3539,5,68,210.10000231
3538,1,129,210.06999969
3537,1,290,210.04000472
3536,2,294,209.84999848
3535,2,11,209.79999923
3534,1,188,209.69000244
3533,1,177,209.59999848
3532,1,121,209.06999969
3531,2,25,208.94999885
3530,1,112,208.8199997
3529,1,77,208.81000041
3528,4,84,208.77999876
3527,1,97,208.42999887
3526,2,259,208.34000015
3525,2,3,208.339995858
3524,1,242,208.11000061
3523,2,86,208.06999588
3522,2,87,207.92000198
3521,1,22,207.749994999
3520,2,124,207.7300005
3519,1,98,207.439995758
3518,1,268,207.2100029
3517,1,96,207.07999801
3516,1,188,206.92000007
3515,2,69,206.88999939
3514,1,317,206.86000442
3513,1,250,206.849999547
3512,2,168,206.68999481
3511,2,207,206.5399971
3510,2,125,206.49000549
3509,3,72,206.49000072
3508,1,204,206.46000004
3507,2,155,206.35999683
3506,3,35,206.23999977
3505,1,188,205.9100008
3504,2,69,205.86999893
3503,2,269,205.699999813
3502,2,95,205.14000129
3501,2,68,205.09999848
3500,3,92,204.980001454
3499,2,70,204.80999946
3498,1,217,204.7699976
3497,1,187,204.71999742
3496,2,72,204.5699997
3495,2,221,204.56999587
3494,2,248,204.15999985
3493,1,13,203.960001938
3492,1,146,203.93000034
3491,1,364,203.92999649
3490,1,100,203.87999725
3489,1,51,203.64000177
3488,1,225,203.58999252
3487,1,215,203.45999909
3486,1,121,203.289997566
3485,2,99,203.190001118
3484,1,251,203.07999801
3483,1,87,203.05999946
3482,1,209,202.83999824
3481,2,73,202.71000481
3480,3,9,202.629999222
3479,1,40,202.56000142
3478,4,140,202.37000276
3477,2,286,202.31999588
3476,3,201,202.29999924
3475,1,222,202.25999832
3474,4,60,202.250000123
3473,2,71,202.109994886
3472,1,2,202.05999756
3471,2,148,202.02999972
3470,1,361,201.9699974
3469,1,196,201.94999695
3468,1,284,201.91999627
3467,3,86,201.859998229
3466,3,139,201.680002929
3465,1,64,201.6499939
3464,1,264,201.60000038
3463,2,66,201.46999358
3462,2,184,201.419997694
3461,1,340,201.329998013
3460,1,145,201.29000092
3459,1,251,201.02999591
3458,2,24,201.029994488
3457,6,51,200.93999934
3456,1,231,200.84999848
3455,2,175,200.59999848
3454,1,231,200.47999954
3453,2,180,200.45999909
3452,1,236,200.20999909
3451,1,235,200.15999603
3450,1,363,199.95000076
3449,1,354,199.91000366
3448,1,146,199.449997775
3447,2,129,199.359996324
3446,4,14,199.31999875
3445,1,320,199.21000098
3444,1,45,199.05000305
3443,1,290,199.020000945
3442,1,276,198.880000117
3441,2,188,198.869999227
3440,1,67,198.57999801
3439,1,256,198.52000046
3438,1,191,198.5
3437,1,108,198.05999756
3436,2,60,197.91000367
3435,1,122,197.71999549
3434,1,257,197.69000243
3433,1,34,197.52000046
3432,1,361,197.34000205
3431,1,180,197.25999832
3430,1,51,197.23999405
3429,1,221,197.17999841
3428,1,69,197.17000199
3427,1,187,197.04999923
3426,1,46,196.97999574
3425,2,85,196.88000298
3424,3,159,196.64999771
3423,4,76,196.430003174
3422,1,163,196.249998573
3421,2,219,196.20999718
3420,1,168,196.1799984
3419,1,17,195.86000299
3418,2,17,195.82999897
3417,1,187,195.7199974
3416,1,231,195.66000366
3415,1,207,195.45999718
3414,3,121,195.440001008
3413,1,194,195.40999985
3412,1,200,195.33000183
3411,1,7,195.30000048
3410,1,119,195.26999856
3409,1,194,195.22999668
3408,3,103,195.09999847
3407,1,183,194.99999808
3406,4,172,194.7300005
3405,1,339,194.59000015
3404,1,139,194.42000006
3403,1,185,194.27999878
3402,1,302,194.19000436
3401,2,120,194.13999534
3400,2,61,194.13000012
3399,1,239,194.05999756
3398,1,202,193.58000278
3397,3,267,193.48999977
3396,1,84,193.46999932
3395,2,52,193.24999618
3394,3,64,192.880000708
3393,1,317,192.879995579
3392,1,159,192.619996548
3391,1,348,192.52000427
3390,1,64,192.51999665
3389,3,47,192.36999702
3388,2,55,192.16999626
3387,2,116,192.12000275
3386,2,66,192.1099968
3385,1,164,191.7599945
3384,1,277,191.74999808
3383,1,255,191.65999984
3382,1,151,191.61000061
3381,2,185,191.379998684
3380,1,241,191.36000062
3379,2,75,191.35000229
3378,2,71,191.11000061
3377,2,61,191.10000229
3376,1,146,190.96999359
3375,1,238,190.85000037
3374,2,20,190.67999839
3373,1,270,190.44999696
3372,4,167,190.13000107
3371,2,225,190.08999825
3370,1,86,189.64000321
3369,1,92,189.60000612
3368,1,76,189.58999443
3367,1,90,189.36000061
3366,3,117,188.9800005
3365,1,3,188.85999679
3364,1,91,188.81000328
3363,1,221,188.7499981
3362,1,206,188.69000244
3361,3,52,188.66999435
3360,1,56,188.41000271
3359,1,3,188.40999793
3358,2,255,188.22999764
3357,1,140,188.03000069
3356,1,11,187.64999771
3355,1,59,187.52000428
3354,1,265,187.4400015
3353,1,54,187.290002831
3352,2,142,187.25999832
3351,1,314,187.08999824
3350,1,108,187.07999992
3349,1,83,186.90000152
3348,2,170,186.78999329
3347,2,241,186.72999573
3346,2,260,186.59000397
3345,1,103,186.50999641
3344,1,195,186.39000033
3343,1,242,186.18999863
3342,1,339,186.16000653
3341,3,69,186.16000271
3340,2,3,186.070000885
3339,1,105,185.83000565
3338,1,194,185.81999969
3337,1,218,185.75999832
3336,1,314,185.75000382
3335,2,255,185.60000134
3334,1,1,185.49999905
3333,3,27,185.47999763
3332,1,30,185.44999933
3331,1,57,185.43999862
3330,2,20,185.35000229
3329,3,24,185.33000184
3328,1,204,185.149997711
3327,1,61,185.10000229
3326,1,202,184.77999878
3325,2,52,184.70999527
3324,2,86,184.49000167
3323,1,208,184.48999976
3322,2,60,184.40000153
3321,2,52,184.25
3320,1,60,184.12000275
3319,1,146,184.079996824
3318,1,83,184.00999832
3317,3,77,183.999997138
3316,1,174,183.93000031
3315,1,145,183.90999604
3314,1,139,183.87999725
3313,1,67,183.82999992
3312,4,12,183.78000259
3311,2,117,183.69999313
3310,5,87,183.58999825
3309,2,36,183.58000564
3308,3,22,183.51999759
3307,1,178,183.19000245
3306,1,345,183.18000031
3305,1,282,182.83000565
3304,1,67,182.83000183
3303,2,2,182.739998339
3302,2,31,182.62999344
3301,3,55,182.36000252
3300,1,102,182.31999779
3299,1,249,182.18000031
3298,1,300,182.129997017
3297,2,163,181.95999909
3296,1,104,181.760003573
3295,1,218,181.57000351
3294,1,106,181.42000008
3293,1,258,181.26000214
3292,2,172,181.139997955
3291,3,199,181.040004906
3290,1,365,181.01999665
3289,2,87,180.95000077
3288,1,204,180.46999931
3287,1,249,180.46999364
3286,1,170,180.40000534
3285,1,310,180.22999955
3284,3,258,180.20999766
3283,2,71,180.20000076
3282,1,17,180.19999886
3281,4,38,180.180001477
3280,1,52,180.1800003
3279,1,62,180.1099968
3278,1,149,180.02999879
3277,1,81,180.00000191
3276,3,89,179.969996927
3275,1,331,179.76999664
3274,2,140,179.190000531
3273,1,151,179.179999347
3272,1,348,179.11999512
3271,1,13,179.08999347
3270,3,73,179.07000161
3269,2,45,179.01000214
3268,2,80,178.81999588
3267,1,176,178.76999855
3266,2,68,178.63999748
3265,1,285,178.56000138
3264,1,32,178.439998865
3263,2,126,178.26999855
3262,1,219,178.22999955
3261,2,72,178.17000198
3260,1,249,178.02999496
3259,1,88,177.72000122
3258,3,120,177.27000045
3257,1,281,177.07000351
3256,3,68,177.03000069
3255,2,238,176.97000122
3254,1,94,176.78000068
3253,1,188,176.74000168
3252,1,214,176.47999573
3251,1,80,176.45999908
3250,5,49,176.350000379
3249,2,11,176.29000091
3247,1,90,176.27999878
3248,1,71,176.27999878
3246,2,174,176.22999954
3245,2,75,175.75000384
3244,3,64,175.58999824
3243,1,214,175.55000114
3242,1,290,175.45000267
3241,3,7,175.45000076
3240,2,188,175.37000085
3239,1,177,175.36999893
3238,1,245,175.30999947
3237,1,346,175.26000023
3236,2,48,175.23999787
3235,2,84,174.93999863
3234,1,255,174.900000572
3233,1,345,174.87999726
3232,1,332,174.87000274
3231,1,164,174.54000473
3230,1,242,174.37999915
3229,1,262,174.19000244
3228,1,248,174.13000298
3227,1,55,174.07999896
3226,2,325,173.90999984
3225,2,258,173.8599987
3224,1,289,173.75999832
3223,2,121,173.70999908
3222,1,221,173.65999603
3221,1,269,173.620001083
3220,2,147,173.46000005
3219,2,64,172.93000221
3218,1,275,172.86000061
3217,3,142,172.790002821
3216,1,347,172.68999766
3215,1,327,172.65999985
3214,2,52,172.58999634
3213,1,240,172.479996933
3212,1,195,172.37999917
3211,1,224,172.230000498
3210,1,157,172.04000091
3209,1,228,171.93000221
3208,1,18,171.76000022
3207,1,14,171.59000015
3206,1,149,171.40999603
3205,1,345,171.27000046
3204,1,314,171.18999863
3203,1,311,171.15000153
3202,1,96,170.74999618
3201,1,174,170.65999984
3200,3,55,170.32999801
3199,1,61,170.20999908
3198,2,141,170.179998393
3197,4,50,170.11999703
3196,2,124,170.11000061
3195,3,141,170.099995622
3194,3,9,170.09000205
3193,2,17,170.04999732
3192,2,161,170.019999392
3191,2,56,169.88999748
3190,2,72,169.79000282
3189,2,196,169.51999854
3188,1,336,169.13999749
3187,3,10,169.05000113
3186,1,13,169.00000192
3185,1,184,168.84000397
3184,1,26,168.83000565
3183,2,236,168.780000454
3182,1,248,168.75999451
3181,1,274,168.70000268
3180,1,331,168.62000275
3179,1,234,168.54000473
3178,1,113,168.40999984
3177,1,248,168.25000191
3176,1,224,168.18000603
3175,1,112,168.1800003
3174,1,119,168.17999459
3173,2,1,168.1499958
3172,2,63,168.01000213
3171,1,248,167.960000034
3170,1,16,167.87999727
3169,1,24,167.76000594
3168,1,349,167.68999481
3167,1,79,167.43999863
3166,1,276,167.43000031
3165,1,70,167.42000198
3164,2,3,167.41999818
3163,1,201,167.27999878
3162,4,6,167.25999832
3161,1,249,167.080001826
3160,1,192,167.07999993
3159,2,94,167.06000138
3158,1,194,166.90999984
3157,1,2,166.88000298
3156,1,160,166.84000206
3155,2,90,166.72000122
3154,1,57,166.57999801
3153,1,136,166.02000427
3152,1,66,165.9100008
3151,1,172,165.83000183
3150,1,125,165.7400055
3149,1,81,165.70000076
3148,3,133,165.670000082
3147,4,108,165.58000087
3146,3,130,165.54999923
3145,2,83,165.5
3144,2,236,165.34999847
3143,1,245,165.20999909
3142,2,95,165.18999482
3141,2,170,165.13999939
3140,1,338,165.1099968
3139,1,169,164.979997643
3138,1,71,164.909998904
3137,1,186,164.87999724
3136,1,242,164.87000276
3135,1,86,164.70000362
3134,1,196,164.52999878
3133,3,13,164.399999733
3132,1,265,164.20000077
3131,1,69,164.02000046
3130,1,196,163.97999763
3129,1,109,163.93000031
3128,1,298,163.92000008
3127,2,63,163.91999817
3126,2,164,163.8899994
3125,1,131,163.85000228
3124,1,121,163.82999802
3123,1,256,163.80999946
3122,1,90,163.790002829
3121,1,37,163.74999809
3120,1,315,163.74000168
3119,1,283,163.70000076
3118,1,108,163.68999481
3117,1,89,163.47000121
3116,1,72,163.36999893
3115,1,210,163.310000898
3114,1,254,163.20999909
3113,1,305,162.74999808
3112,1,164,162.140000825
3111,1,163,162.1099968
3110,2,119,162.01000023
3109,1,124,162
3108,1,5,161.93999863
3107,2,68,161.81999779
3106,1,47,161.61999798
3105,2,93,161.54999924
3104,2,131,161.48000145
3103,1,228,161.4699974
3102,1,136,161.2800026
3101,1,144,161.18000316
3100,3,139,161.169996264
3099,1,153,161.11999893
3098,1,186,161.0699997
3097,1,6,160.99999618
3096,1,22,160.83999824
3095,1,68,160.81000519
3094,3,147,160.70000076
3093,2,104,160.56000137
3092,1,206,160.50999833
3091,1,60,160.3900032
3090,1,195,160.370000826
3089,1,270,159.86000442
3088,1,242,159.80000305
3087,1,201,159.74999905
3086,1,149,159.51000213
3085,1,226,159.49000549
3084,2,87,159.46000289
3083,1,313,159.279999726
3082,1,52,159.200000408
3081,1,258,159.15000153
3080,1,138,159.139997255
3079,3,190,159.09000398
3078,2,93,158.95999623
3077,1,226,158.8999977
3076,1,152,158.70000077
3075,1,88,158.67999649
3074,3,66,158.58999824
3073,2,130,158.49999619
3072,1,73,158.45999527
3071,1,255,158.39999962
3070,1,181,158.27000046
3069,1,259,158.169998882
3068,1,101,158.11000061
3067,2,128,158.05999756
3066,2,120,157.990002165
3065,2,80,157.90000153
3064,1,264,157.73999787
3063,1,124,157.59000015
3062,1,226,157.55000019
3061,2,143,157.46000291
3060,2,94,157.43999863
3059,1,258,157.35000229
3058,2,138,157.29000092
3057,1,296,157.15000153
3056,1,209,157.10000038
3055,2,143,157.03000259
3054,1,202,157.02000046
3053,3,88,156.99000167
3052,1,226,156.87999725
3051,1,195,156.79999924
3050,2,48,156.65000152
3049,3,24,156.54999924
3048,1,257,156.5
3047,1,133,156.410001766
3046,2,86,156.37999726
3045,1,169,156.24999618
3044,2,108,156.15999984
3043,3,69,156.149999624
3042,1,163,156.060002334
3041,1,232,156.02999877
3040,1,242,155.92000199
3039,1,75,155.63999938
3038,1,62,155.53999711
3037,1,205,155.44999695
3036,1,194,155.34999848
3035,2,101,155.17000294
3034,1,61,155.17000198
3033,2,163,155.13999939
3032,2,102,155.04000092
3031,1,79,155.02000427
3030,1,15,154.70000267
3029,1,250,154.56000138
3028,1,213,154.56000138
3027,2,136,154.499999043
3026,2,56,154.29999923
3025,1,245,154.23999787
3024,1,181,154.22999573
3023,1,105,154.05999755
3022,1,8,153.9499969
3021,2,47,153.93999863
3020,1,244,153.88000107
3019,1,280,153.87999725
3018,1,100,153.86000062
3017,3,182,153.76000213
3016,1,304,153.72999954
3015,1,224,153.72000122
3014,1,56,153.65000152
3013,1,223,153.640001769
3012,2,115,153.54000092
3011,1,347,153.18999863
3010,1,198,153.01000214
3009,1,144,152.93000031
3008,1,338,152.87999916
3007,1,7,152.8399963
3006,2,300,152.82000161
3005,1,170,152.81999589
3004,3,12,152.66999817
3003,1,289,152.629998202
3002,1,338,152.4600029
3001,1,302,152.460001
3000,5,150,152.440001016
2999,1,188,152.39999771
2998,2,88,152.389996534
2997,2,205,152.38000107
2996,1,127,152.3199997
2995,1,200,152.290000438
2994,2,16,152.26000214
2993,1,261,152.24000167
2992,1,16,152.20000458
2991,1,113,152.20000268
2990,2,332,152.14999962
2989,2,63,152.06999778
2988,1,262,151.95999909
2987,2,45,151.90999985
2986,1,94,151.88999748
2985,1,213,151.82000161
2984,2,136,151.7800026
2983,2,186,151.539999
2982,1,334,151.4600029
2981,4,14,151.399999624
2980,1,318,151.290002829
2979,1,230,151.170001027
2978,1,362,151.15999985
2977,1,178,150.93999673
2976,1,297,150.490003118
2975,1,87,150.36000061
2974,2,193,150.27999877
2973,2,104,150.25999832
2972,1,30,150.22999954
2971,1,80,150.18999481
2970,2,224,150.18000221
2969,2,121,150.10999871
2968,2,20,150.05999851
2967,1,189,150.04999732
2966,1,10,150.019997107
2965,1,311,150.01000213
2964,1,52,150
2963,1,308,149.740001797
2962,1,224,149.74000168
2961,3,207,149.73999977
2960,1,228,149.63999938
2959,1,125,149.62000275
2957,1,169,149.54000092
2958,1,241,149.54000092
2956,2,40,149.160005813
2955,1,90,149.149994849
2954,1,230,149.11999893
2953,1,52,149.09000014
2952,1,91,149.02999544
2951,3,122,149.02000046
2950,2,142,148.87999725
2949,1,297,148.79999924
2948,1,306,148.75999832
2947,2,217,148.65999985
2946,1,217,148.650002009
2945,1,199,148.65000152
2944,1,2,148.64999962
2943,1,136,148.62000276
2942,1,256,148.60000229
2941,4,34,148.439999334
2940,1,204,148.439996714
2939,1,81,148.29999924
2938,1,164,148.23999787
2937,1,205,148.230001444
2936,1,147,148.21999931
2935,1,151,147.94999695
2934,2,204,147.9299984
2933,2,199,147.920000545
2932,2,60,147.91000081
2931,1,199,147.86000061
2930,1,174,147.85999684
2929,2,62,147.84999943
2928,1,312,147.81999969
2927,2,73,147.77999877
2926,1,67,147.759995457
2925,2,108,147.669997208
2924,1,190,147.30999756
2923,1,64,147.27999686
2922,1,3,147.19999695
2921,4,9,147.19000245
2920,2,31,147.090002293
2919,1,194,146.96000099
2918,2,59,146.93999482
2917,1,174,146.91999816
2916,1,100,146.87000083
2915,1,238,146.85000229
2914,3,70,146.65000153
2913,3,18,146.499998561
2912,1,186,146.470001216
2911,2,188,146.39000321
2910,1,10,146.27000046
2909,1,105,146.230000128
2908,1,314,146.05999947
2907,1,317,145.88999938
2906,1,266,145.81999969
2905,1,216,145.730000981
2904,3,25,145.63999938
2902,1,151,145.48999786
2903,1,303,145.48999786
2901,2,83,145.45999909
2900,1,158,145.42999649
2899,1,180,145.40999985
2898,2,70,145.27000237
2897,1,332,145.26999664
2896,2,121,145.25999737
2895,4,56,145.11000061
2894,1,222,145.10000229
2893,2,201,145.039999004
2892,1,81,145.02999877
2891,1,288,145.000000003
2890,1,159,144.99000168
2889,1,306,144.96000099
2888,1,214,144.94000053
2887,1,81,144.8900032
2886,1,25,144.59000016
2885,1,69,144.58000182
2884,2,139,144.47000122
2883,2,100,144.330001834
2882,1,347,144.29999542
2881,2,209,144.26999855
2880,1,157,144.25999832
2879,1,34,144.200000762
2878,1,248,144.13999939
2877,3,86,144.070002073
2876,1,79,144.06999969
2875,1,87,144.01000213
2874,1,54,143.88999462
2873,1,129,143.80999756
2872,1,10,143.72999954
2871,2,277,143.51000405
2870,1,247,143.490001207
2869,1,344,143.46000098
2868,1,129,143.38999939
2867,1,210,143.36000061
2866,1,169,143.31999969
2865,1,119,143.11000061
2864,1,82,143.109998706
2863,3,66,142.810001376
2862,2,69,142.73999791
2861,2,66,142.56000138
2860,1,213,142.54999696
2859,3,198,142.54000473
2858,1,116,142.47999763
2857,3,144,142.460005748
2856,3,143,142.09000016
2855,2,123,142.04999924
2854,1,252,142.0300026
2853,1,83,141.92999649
2852,1,226,141.85000039
2851,2,125,141.75
2850,1,165,141.71999931
2849,1,12,141.65999603
2848,1,230,141.65000152
2847,1,168,141.58999633
2846,1,193,141.47999764
2845,1,80,141.449999812
2844,1,164,141.34999848
2843,1,125,141.20000076
2842,1,207,141.19999695
2841,2,97,141.14999962
2840,1,186,141.10000229
2839,1,82,141.00999832
2838,1,252,140.92999839
2835,1,225,140.7499981
2836,1,170,140.7499981
2837,1,290,140.7499981
2834,3,67,140.68000031
2833,1,246,140.42000198
2832,1,13,140.3899994
2831,1,172,140.29999923
2830,2,108,140.27999878
2829,1,219,139.97000218
2828,1,341,139.90999699
2827,3,51,139.64999819
2826,1,240,139.56000137
2825,1,228,139.52000045
2824,1,221,139.43999862
2823,3,43,139.39999962
2822,3,14,139.350000381
2821,2,247,139.23000335
2820,1,50,139.12000083
2819,2,27,139.11000443
2818,1,349,139.07999801
2817,2,51,139.059998507
2816,1,208,139.029998775
2815,3,152,138.79999733
2814,1,192,138.76000214
2813,1,122,138.73999786
2812,2,181,138.61999893
2811,1,324,138.31000328
2810,1,202,138.12999582
2809,2,13,138.0699997
2808,2,66,137.85000229
2807,2,68,137.71999931
2806,1,22,137.65999985
2805,2,52,137.649997697
2804,2,278,137.52000427
2803,2,168,137.48000336
2802,2,174,137.4299984
2801,4,52,137.38999843
2800,1,62,137.27000045
2799,2,244,137.26999664
2798,1,361,137.24000167
2797,3,61,137.200001708
2796,1,120,137.1400013
2795,1,96,137.01000213
2794,1,293,136.95000076
2793,2,27,136.85000229
2792,1,84,136.78999997
2791,2,167,136.73999786
2790,1,256,136.72000123
2789,1,62,136.69000244
2788,1,239,136.44000245
2787,2,17,136.43999862
2786,1,220,136.3500023
2785,1,6,136.11000252
2784,1,231,135.950000761
2783,1,143,135.83000183
2782,3,174,135.73000337
2781,2,123,135.69000054
2780,1,241,135.61999893
2779,2,119,135.61999799
2778,1,179,135.50999832
2777,1,220,135.40000153
2776,1,204,135.380002017
2775,1,239,135.22999954
2774,2,87,135.119998916
2773,1,99,135
2772,1,130,134.99999999
2771,2,194,134.98999787
2770,1,211,134.97999954
2769,1,108,134.92000198
2768,1,150,134.91999913
2767,2,177,134.919998643
2766,1,307,134.90999985
2765,3,228,134.84000111
2764,1,60,134.81999779
2763,1,86,134.76000023
2762,2,159,134.51000214
2761,1,74,134.43000031
2760,1,114,134.40999603
2759,1,199,134.370000358
2758,4,148,134.28999901
2757,1,320,134.18000222
2756,1,51,134.17000198
2755,1,240,134.12000083
2754,1,247,134.039999
2753,2,57,134.019999979
2752,2,231,134.00999641
2751,1,70,133.869999412
2750,1,295,133.8699951
2749,1,152,133.84999466
2748,1,283,133.84000015
2747,1,306,133.74999619
2746,1,303,133.72000026
2745,1,56,133.71999741
2744,1,136,133.62999725
2743,2,76,133.60000229
2742,1,182,133.53999328
2741,2,23,133.53000069
2740,1,109,133.40999793
2739,1,273,133.37000275
2738,1,4,133.36999799
2737,1,118,133.30999755
2736,1,189,133.200000772
2735,1,176,133.14999962
2734,1,86,133.0300026
2733,1,198,132.989999769
2732,1,360,132.91999816
2731,1,305,132.90000153
2730,1,214,132.86000062
2729,1,310,132.67000198
2728,1,165,132.670001038
2727,1,212,132.65999985
2726,2,81,132.64999771
2725,1,10,132.3999977
2724,1,218,132.37000275
2723,1,208,132.30999946
2722,1,221,132.29000473
2721,1,207,132.2100029
2720,2,68,132.17999934
2719,1,135,132.17999744
2718,2,129,131.96000098
2717,3,17,131.84999847
2716,1,283,131.67999268
2715,1,258,131.57999801
2714,1,243,131.28999329
2713,1,230,131.28000259
2712,1,18,131.27999877
2710,1,38,131.27999496
2711,1,40,131.27999496
2709,1,4,131.2199974
2708,1,176,130.98999977
2707,2,147,130.840000629
2706,1,216,130.82000159
2705,1,182,130.68999863
